지점,지점명,일시,평균기온(°C),평균 이슬점온도(°C),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C)
108,서울,2013-03-02,-.8,-12.2,2.4,1015.8,1026.7,11.4,2.1,-6.7,.6
108,서울,2013-03-03,.4,-9.4,3.1,1012.3,1023.1,11.5,3.3,-5.5,1.4
108,서울,2013-03-04,3.1,-4.6,4.4,1010.1,1020.8,11.5,3.6,-3.6,2.9
108,서울,2013-03-05,3.7,-5.9,4,1013.8,1024.5,11.5,5.2,-5.2,3.7
108,서울,2013-03-06,7.9,-5.1,4.2,1009.2,1019.7,11.6,6.4,-2.8,5.1
108,서울,2013-03-07,8,3.4,7.8,1001.2,1011.6,11.6,8.1,4.1,6.9
108,서울,2013-03-08,8.5,2.2,7.2,998.6,1008.9,11.6,9.6,.1,7.9
108,서울,2013-03-09,13.2,1.5,6.9,996.5,1006.7,11.7,12.4,1.9,9.8
108,서울,2013-03-10,1.2,-13.9,2.1,1010.6,1021.4,11.7,5.6,-2.8,5.1
108,서울,2013-03-11,4.2,-11.8,2.6,1013.8,1024.5,11.8,6.4,-6.7,5
108,서울,2013-03-12,7.5,.1,6.4,1004.7,1015.2,11.8,5.1,-4.1,5.1
108,서울,2013-03-13,5.2,-1.5,5.9,1003.7,1014.2,11.8,7.1,.1,6.6
108,서울,2013-03-14,4.1,-6,3.9,1016.5,1027.2,11.9,6.6,-2.8,5.5
108,서울,2013-03-15,4.6,-7.5,3.5,1014.9,1025.6,11.9,5.8,-5.4,5.3
108,서울,2013-03-16,6.3,-2.8,5.1,1013.4,1024,12,8,-2.7,6.3
108,서울,2013-03-17,8.2,-1.7,5.7,1003.4,1013.8,12,9.3,-1.6,7.9
108,서울,2013-03-18,8.3,3.2,7.7,994.3,1004.7,12.1,11.7,2.3,9.9
108,서울,2013-03-19,8,.5,6.4,1001.6,1012,12.1,8.4,3.9,8.6
108,서울,2013-03-20,2.8,-6.6,4.1,1002.6,1013.2,12.1,6.9,-3.7,6.7
108,서울,2013-03-21,1.5,-13.4,2.2,1007.2,1017.9,12.2,4.5,-6.7,4.4
